List Year,County,Assessed Value,Sale Amount,Sale Ratio,FIPS
2009,Tolland,229779858,239507509.0,1.0423346549374228,09013
2001,Tolland,348157775,450180443.0,1.2930357307114568,09013
2016,Tolland,345056427,462999774.0,1.3418088688433558,09013
2008,Tolland,303769060,357017275.0,1.1752917660541202,09013
2005,Tolland,325143878,694794857.0,2.1368843272515807,09013
2020,Tolland,371207296,6231119565.0,16.786091308399282,09013
2012,Tolland,374839805,440851757.0,1.1761071026061387,09013
2010,Tolland,252149052,295665534.0,1.172582374015826,09013
2015,Tolland,292543573,413436923.0,1.4132490376057587,09013
2018,New Haven,2618047376,3437048484.7265625,1.312828987066643,09009
2020,New Haven,2542793787,4646941882.9375,1.827494587526102,09009
2015,New Haven,2081377375,2899187636.0,1.3929178201045833,09009
2002,New Haven,1552019666,2826317278.0,1.8210576450260005,09009
2010,New Haven,1793373892,1926897792.0,1.0744540224409602,09009
2017,New Haven,3178694095,3463503796.8828125,1.0895995944783774,09009
2011,New Haven,1644517876,1780666149.0,1.082789171821687,09009
2012,New Haven,1839002768,2242866427.0,1.2196101419897374,09009
2005,New Haven,1807751299,3780705400.0,2.091385801847514,09009
2006,New Haven,1914492551,3422460785.0,1.7876594940065662,09009
2003,New Haven,2156989153,4236015400.0,1.963855680084637,09009
2009,New Haven,2094888242,2388982681.0,1.1403866961032856,09009
2016,New Haven,1933794028,2698331523.0,1.3953562188785495,09009
2007,New Haven,1822155264,2603348053.0,1.4287191132577384,09009
2013,New Haven,1760067550,2393583358.0,1.3599383489571182,09009
2004,New Haven,2658746194,5330103958.0,2.0047434275706575,09009
2008,New Haven,1897487035,2311984211.0,1.2184453270849358,09009
2019,New Haven,2799463122,4360134950.3984375,1.55748969012439,09009
2001,New Haven,1284842543,2355244776.0,1.8330999302846092,09009
2014,New Haven,2242173285,2930654587.0,1.3070598096078911,09009
2001,Litchfield,445522984,802773823.0,1.8018684822778974,09005
2015,Litchfield,561994215,782808735.0,1.392912443057799,09005
2014,Litchfield,647174264,882992989.0,1.3643821117707486,09005
2011,Litchfield,490932692,578794248.0,1.1789686395543608,09005
2016,Litchfield,701593837,935554181.0,1.3334697821754098,09005
2020,Litchfield,878622366,1606784780.8984375,1.8287546994887647,09005
2002,Litchfield,511823142,1043593689.0,2.038973237751723,09005
2008,Litchfield,261705160,361521204.0,1.38140648048361,09005
2019,Litchfield,829719128,1256032857.5625,1.513804871041252,09005
2010,Litchfield,433451772,511176768.0,1.1793163646358331,09005
2005,Litchfield,562889895,1082994384.0,1.923989742256787,09005
2018,Litchfield,457553613,623871774.2299805,1.3634943676643647,09005
2006,Litchfield,660112169,1262372152.0,1.9123600673993937,09005
2013,Litchfield,374885761,458425827.0,1.2228413951417056,09005
2007,Litchfield,472706455,828142415.0,1.7519168740778037,09005
2017,Litchfield,664838384,913310131.9257812,1.3737325550171322,09005
2003,Litchfield,301658123,632779060.0,2.0976695528931604,09005
2012,Litchfield,556383453,672492966.0,1.208686136106208,09005
2004,Litchfield,895028441,1765505163.0,1.9725687834315424,09005
2009,Litchfield,637315886,814883348.0,1.2786176618230414,09005
2004,Fairfield,9262773706,14734985037.0,1.5907745891984117,09001
2016,Fairfield,9476834077,13969879097.0,1.4741082289183989,09001
2007,Fairfield,6526554157,7100845918.0,1.0879931043526312,09001
2018,Fairfield,7704169568,8717210042.84375,1.131492494538478,09001
2019,Fairfield,9798753008,11645436281.382812,1.1884610492656693,09001
2010,Fairfield,4577390724,4439985849.0,0.9699818339125904,09001
2013,Fairfield,7962003369,9025748124.0,1.1336026507024202,09001
2017,Fairfield,7599034353,7785197078.625,1.0244982081902954,09001
2014,Fairfield,7939343174,9912555633.671875,1.2485359829429985,09001
2020,Fairfield,12291662671,17899997724.070312,1.4562714746721928,09001
2009,Fairfield,7849610810,7067946264.0,0.9004199615853311,09001
2006,Fairfield,10147279918,11690450994.0,1.1520773141640261,09001
2012,Fairfield,7071099308,6844703222.0,0.9679829010824579,09001
2002,Fairfield,5488035289,8416976482.0,1.533695765198641,09001
2005,Fairfield,5327564998,8791063030.0,1.6501090147750836,09001
2001,Fairfield,3613878681,6320145181.0,1.7488537216891704,09001
2011,Fairfield,7945099050,6605744128.0,0.8314237602865379,09001
2003,Fairfield,5918342043,9183981186.0,1.5517827660641006,09001
2008,Fairfield,4184604931,4037745184.0,0.9649047521996528,09001
2015,Fairfield,6439333536,5939271784.0,0.9223426230052637,09001
